Transparency Data ,,,,,,,,
Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Invoice Currency Unit
BIS,EPSRC,04/12/2014,T&S UK - Other Charges,External communications,Unspecified,72937071,10,GBP
BIS,EPSRC,04/12/2014,T&S UK - Vehicle Hire,External communications,Unspecified,72937071,15.63,GBP
BIS,EPSRC,04/12/2014,T&S UK - Parking Tolls Congestion Charges,Programme Delivery LWEC,Unspecified,72937072,30.3,GBP
BIS,EPSRC,04/12/2014,T&S UK - Public Transport,Programme Delivery Quantum Technology,Unspecified,72937073,22,GBP
BIS,EPSRC,04/12/2014,T&S UK - Public Transport,Programme Delivery Physical Sciences,Unspecified,72937074,3.8,GBP
BIS,EPSRC,04/12/2014,T&S UK - Public Transport,Programme Delivery Physical Sciences,Unspecified,72937074,8.2,GBP
BIS,EPSRC,04/12/2014,T&S UK - Subsistence,Programme Delivery Physical Sciences,Unspecified,72937074,3.85,GBP
BIS,EPSRC,04/12/2014,T&S UK - Subsistence,Programme Delivery Physical Sciences,Unspecified,72937074,9.5,GBP
BIS,EPSRC,04/12/2014,Purchase of non capital equipment,EPSRC Corporate Services,Apple Distribution International,72950686,59.8,GBP
BIS,EPSRC,04/12/2014,Purchase of non capital equipment,EPSRC Corporate Services,Apple Distribution International,72950686,60,GBP
BIS,EPSRC,04/12/2014,Health & Safety (inc. Medicals & Opticians),EPSRC Corporate Services,Banner Business Services Limited,72965225,37.52,GBP
BIS,EPSRC,04/12/2014,T&S UK - Subsistence,Admin Gateway to Research,Unspecified,72970129,15.85,GBP
BIS,EPSRC,04/12/2014,T&S UK - Public Transport,Admin RCUK Strategy Unit,Unspecified,72970130,5.3,GBP
BIS,EPSRC,04/12/2014,T&S UK - Subsistence,Admin RCUK Strategy Unit,Unspecified,72970130,12.49,GBP
BIS,EPSRC,04/12/2014,T&S UK - Subsistence,Admin RCUK Strategy Unit,Unspecified,72970131,25,GBP
BIS,EPSRC,04/12/2014,T&S UK - Other Charges,Programme Delivery Energy,Unspecified,72970132,20,GBP
BIS,EPSRC,04/12/2014,T&S UK - Other Charges,Programme Delivery Energy,Unspecified,72970132,30,GBP
BIS,EPSRC,04/12/2014,T&S UK - Public Transport,Programme Delivery Energy,Unspecified,72970132,3.6,GBP
BIS,EPSRC,04/12/2014,T&S UK - Public Transport,Programme Delivery Energy,Unspecified,72970132,4.7,GBP
BIS,EPSRC,04/12/2014,T&S UK - Other Charges,Programme Delivery ICT,Unspecified,72970133,5,GBP
BIS,EPSRC,04/12/2014,T&S UK - Subsistence,Programme Delivery ICT,Unspecified,72970133,82.03,GBP
BIS,EPSRC,05/12/2014,T&S UK - Public Transport,Associate Director Operations,Enterprise Rent-A-Car UK Ltd,73015065,60.7,GBP
BIS,EPSRC,05/12/2014,T&S UK - Vehicle Hire,Programme Delivery Engineering,Enterprise Rent-A-Car UK Ltd,73015065,65.35,GBP
BIS,EPSRC,05/12/2014,T&S UK - Vehicle Hire,Programme Delivery Physical Sciences,Enterprise Rent-A-Car UK Ltd,73015065,35.75,GBP
BIS,EPSRC,05/12/2014,T&S UK - Vehicle Hire,Programme Delivery Quantum Technology,Enterprise Rent-A-Car UK Ltd,73015065,41.75,GBP
BIS,EPSRC,05/12/2014,T&S UK - Vehicle Hire,Programme Delivery Quantum Technology,Enterprise Rent-A-Car UK Ltd,73015065,44.75,GBP
BIS,EPSRC,05/12/2014,Purchase of non capital equipment,EPSRC Corporate Services,RS Components,73018069,-71.5,GBP
BIS,EPSRC,05/12/2014,Purchase of non capital equipment,EPSRC Corporate Services,RS Components,73018069,-14.3,GBP
BIS,EPSRC,05/12/2014,Purchase of non capital equipment,EPSRC Corporate Services,RS Components,73018069,855,GBP
BIS,EPSRC,05/12/2014,Fees (Including College Members),Admin Peer Review and Output (excluding external panel member fees),Professor R M Ormerod,73018294,-160,GBP
BIS,EPSRC,05/12/2014,Fees (Including College Members),Admin Peer Review and Output (excluding external panel member fees),Professor R M Ormerod,73018294,160,GBP
BIS,EPSRC,05/12/2014,Fees (Including College Members),Admin Peer Review and Output (excluding external panel member fees),Professor R M Ormerod,73018294,160,GBP
BIS,EPSRC,05/12/2014,Fees (Including College Members),Admin Peer Review and Output (excluding external panel member fees),Mr John Varcoe,73018296,160,GBP
BIS,EPSRC,05/12/2014,Photocopy Costs,JRS,In2Print,73018405,1619,GBP
BIS,EPSRC,05/12/2014,Photocopy Costs,JRS,In2Print,73018411,176.4,GBP
BIS,EPSRC,05/12/2014,Meetings & Catering,Programme Delivery Manufacturing,Calder Conference Ltd,73018433,10.06,GBP
BIS,EPSRC,05/12/2014,Meetings & Catering,Programme Delivery Manufacturing,Calder Conference Ltd,73018433,754.94,GBP
BIS,EPSRC,05/12/2014,Photocopy Costs,JRS,Acorn Press Swindon Ltd,73018435,2995,GBP
BIS,EPSRC,05/12/2014,Photocopy Costs,JRS,Belmont Press,73018493,2845,GBP
BIS,EPSRC,05/12/2014,T&S UK - Other Charges,Programme Delivery Engineering,Unspecified,73018521,10,GBP
BIS,EPSRC,05/12/2014,T&S UK - Public Transport,Programme Delivery Engineering,Unspecified,73018521,5,GBP
BIS,EPSRC,05/12/2014,T&S UK - Public Transport,Programme Delivery Engineering,Unspecified,73018521,24.9,GBP
BIS,EPSRC,05/12/2014,T&S UK - Subsistence,Programme Delivery Engineering,Unspecified,73018521,1.64,GBP
BIS,EPSRC,05/12/2014,T&S UK - Subsistence,Programme Delivery Engineering,Unspecified,73018521,22,GBP
BIS,EPSRC,05/12/2014,T&S UK - Other Charges,Newton Programme Management Team,Unspecified,73018522,10,GBP
BIS,EPSRC,05/12/2014,T&S UK - Public Transport,Newton Programme Management Team,Unspecified,73018522,6.5,GBP
