Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Currency
BIS,EPSRC,20/12/2013,Capital Grants & Equipment to HEIs,NC ICT,ICSTM,37921996,3769.5,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,NC ICT,ICSTM,37921996,21998.38,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,NC ICT,ICSTM,37921997,27884.87,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,NC ICT,ICSTM,37921998,33207.14,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,Healthcare Healthcare,University of Edinburgh,37921999,480773.54,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,GU ICT,ICSTM,37922000,27532.6,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,NC ICT,ICSTM,37922000,27532.56,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,NC ICT,University of Bristol GRANT,37922001,30875.64,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,Healthcare ICT,University of Glasgow GRANT,37922002,19923.53,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,NC ICT,University of Glasgow GRANT,37922002,179311.72,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,NC ICT,University of Bath,37922003,35594.03,GBP
BIS,EPSRC,20/12/2013,Capital Grants & Equipment to HEIs,NC ICT,University of Bath,37922004,7486.62,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,NC ICT,University of Bath,37922004,9279.91,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,NC Maths,University College London GRANT,37922005,31207.18,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,Energy Energy,ICSTM,37922006,133070.02,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,GU ICT,University of Cambridge,37922007,30866.02,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,NC Maths,University of Cambridge,37922007,7716.52,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,GU ICT,University of Sheffield GRANT,37922008,20021.97,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,NC Maths,University of Sheffield GRANT,37922008,5005.48,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,LWEC Eng,University of Newcastle upon Tyne GRANT,37922009,140944.98,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,LWEC LWEC,University of Newcastle upon Tyne GRANT,37922009,140944.94,GBP
BIS,EPSRC,20/12/2013,Capital Grants & Equipment to HEIs,NC Engineering,ICSTM,37922011,29608.25,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,NC Engineering,ICSTM,37922011,236853.21,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,Digital Economy Digital Economy,University of Northumbria at Newcastle,37922012,93605.69,GBP
