DepartmentFamily,Entity,Date,ExpenseType,ExpenseArea,Supplier,TransactionNumber,Amount,InvoiceCurrencyUnit
BIS,EPSRC,05/06/2015,Non-staff travel and subsistance,Programme Delivery ICT,Non Employee Expenses Supplier,87777568,559.98,GBP
BIS,EPSRC,05/06/2015,Non-staff travel and subsistance,Admin Peer Review and Output (excluding external panel member fees),Non Employee Expenses Supplier,87777571,157.18,GBP
BIS,EPSRC,05/06/2015,Fees (Including College Members),Admin Peer Review and Output (excluding external panel member fees),Non Employee Expenses Supplier,87777574,320,GBP
BIS,EPSRC,05/06/2015,Non-staff travel and subsistance,Admin Peer Review and Output (excluding external panel member fees),Non Employee Expenses Supplier,87777577,231.93,GBP
BIS,EPSRC,05/06/2015,Non-staff travel and subsistance,Strategy,Non Employee Expenses Supplier,87777580,178,GBP
BIS,EPSRC,05/06/2015,Non-staff travel and subsistance,Strategy,Non Employee Expenses Supplier,87777583,98.5,GBP
BIS,EPSRC,05/06/2015,Non-staff travel and subsistance,Strategy,Non Employee Expenses Supplier,87777586,9.9,GBP
BIS,EPSRC,05/06/2015,Non-staff travel and subsistance,Strategy,Non Employee Expenses Supplier,87777587,106.1,GBP
BIS,EPSRC,05/06/2015,Fees (Including College Members),Programme Delivery Infrastructure,Non Employee Expenses Supplier,87777590,320,GBP
BIS,EPSRC,05/06/2015,Other Pension Deductions,Balance Sheet,Scottish Widows,87782064,53.55,GBP
BIS,EPSRC,05/06/2015,Partnership Pension Deductions,Balance Sheet,Scottish Widows,87782065,1011.26,GBP
BIS,EPSRC,05/06/2015,Voluntary Deductions,Balance Sheet,Charities Aid Foundation - GAYE,87782066,1161.66,GBP
BIS,EPSRC,05/06/2015,Voluntary Deductions,Balance Sheet,Civil Service Benevolent Fund,87782067,5,GBP
BIS,EPSRC,05/06/2015,Union Deductions,Balance Sheet,PCS Union,87782068,259.2,GBP
BIS,EPSRC,05/06/2015,Union Deductions,Balance Sheet,Prospect Union,87782069,65.74,GBP
BIS,EPSRC,05/06/2015,Non-staff travel and subsistance,Admin Peer Review and Output (excluding external panel member fees),Non Employee Expenses Supplier,87783234,325.93,GBP
BIS,EPSRC,05/06/2015,Non-staff travel and subsistance,Strategy,Non Employee Expenses Supplier,87783235,182.4,GBP
BIS,EPSRC,05/06/2015,Non-staff travel and subsistance,Admin Peer Review and Output (excluding external panel member fees),Non Employee Expenses Supplier,87783236,212.05,GBP
BIS,EPSRC,05/06/2015,Fees (Including College Members),Admin Peer Review and Output (excluding external panel member fees),Non Employee Expenses Supplier,87783237,160,GBP
BIS,EPSRC,05/06/2015,Non-staff travel and subsistance,Admin Peer Review and Output (excluding external panel member fees),Non Employee Expenses Supplier,87783238,77.5,GBP
BIS,EPSRC,05/06/2015,Fees (Including College Members),Admin Peer Review and Output (excluding external panel member fees),Non Employee Expenses Supplier,87783239,160,GBP
BIS,EPSRC,05/06/2015,Non-staff travel and subsistance,Programme Delivery Energy,Non Employee Expenses Supplier,87783240,7.6,GBP
BIS,EPSRC,05/06/2015,Fees (Including College Members),Programme Delivery Energy,Non Employee Expenses Supplier,87783241,320,GBP
BIS,EPSRC,05/06/2015,Non-staff travel and subsistance,Admin Peer Review and Output (excluding external panel member fees),Non Employee Expenses Supplier,87783242,27.7,GBP
BIS,EPSRC,05/06/2015,Non-staff travel and subsistance,Admin Peer Review and Output (excluding external panel member fees),Non Employee Expenses Supplier,87783243,132,GBP
BIS,EPSRC,05/06/2015,Non-staff travel and subsistance,Admin Peer Review and Output (excluding external panel member fees),Non Employee Expenses Supplier,87783244,67.5,GBP
BIS,EPSRC,05/06/2015,Non-staff travel and subsistance,Admin Peer Review and Output (excluding external panel member fees),Non Employee Expenses Supplier,87783245,196.05,GBP
BIS,EPSRC,05/06/2015,Fees (Including College Members),Admin Peer Review and Output (excluding external panel member fees),Non Employee Expenses Supplier,87783246,320,GBP
BIS,EPSRC,05/06/2015,Non-staff travel and subsistance,Admin Peer Review and Output (excluding external panel member fees),Non Employee Expenses Supplier,87783247,145.01,GBP
BIS,EPSRC,05/06/2015,Non-staff travel and subsistance,Strategy,Non Employee Expenses Supplier,87783248,182.6,GBP
BIS,EPSRC,05/06/2015,Non-staff travel and subsistance,Admin Peer Review and Output (excluding external panel member fees),Non Employee Expenses Supplier,87783249,103.15,GBP
BIS,EPSRC,05/06/2015,Non-staff travel and subsistance,Admin Peer Review and Output (excluding external panel member fees),Non Employee Expenses Supplier,87783250,101.52,GBP
BIS,EPSRC,05/06/2015,Fees (Including College Members),Admin External Panel Member payments,Unspecified,87783472,160,GBP
BIS,EPSRC,05/06/2015,Fees (Including College Members),Admin External Panel Member payments,Unspecified,87783473,160,GBP
BIS,EPSRC,05/06/2015,Fees (Including College Members),Admin External Panel Member payments,Unspecified,87783474,160,GBP
BIS,EPSRC,05/06/2015,Fees (Including College Members),Admin External Panel Member payments,Unspecified,87783475,160,GBP
BIS,EPSRC,05/06/2015,Marketing & PR,Communications and Stakeholder Engagement,Unspecified,87784332,1800,GBP
BIS,EPSRC,05/06/2015,T&S Overseas - Public Transport,Admin Research Base Director,Unspecified,87784701,2.56,GBP
BIS,EPSRC,05/06/2015,T&S Overseas - Subsistence,Admin Research Base Director,Unspecified,87784701,10,GBP
BIS,EPSRC,05/06/2015,T&S UK - Accommodation,Admin RCUK Strategy Unit,Unspecified,87784702,109,GBP
BIS,EPSRC,08/06/2015,Health & Safety (inc. Medicals & Opticians),EPSRC Corporate Services,AM Health & Safety Ltd,87360279,774,GBP
BIS,EPSRC,08/06/2015,Other Staff Benefits,EPSRC Corporate Services,Fruit Drop,87715465,240,GBP
BIS,EPSRC,08/06/2015,Consumables,JRS,Presco,87802061,11.94,GBP
BIS,EPSRC,08/06/2015,Consumables,JRS,Presco,87802061,87.12,GBP
BIS,EPSRC,08/06/2015,Staff Training,EPSRC Corporate Services,RCUK Shared Services Centre Ltd,87822060,5620.88,GBP
BIS,EPSRC,08/06/2015,Consumables,JRS,Premier Paper Group Ltd,87833060,1598.4,GBP
BIS,EPSRC,08/06/2015,Other Bought In Services,Performance and Evaluation,Unspecified,87896164,9999.8,GBP
BIS,EPSRC,08/06/2015,Non-staff travel and subsistance,Research Funding Programme,Non Employee Expenses Supplier,87896211,253.04,GBP
BIS,EPSRC,08/06/2015,Printing & Stationery,EPSRC Corporate Services,Banner Business Services Limited,87897182,7.49,GBP
BIS,EPSRC,08/06/2015,Non-staff travel and subsistance,Admin Peer Review and Output (excluding external panel member fees),Non Employee Expenses Supplier,87897283,89.1,GBP
BIS,EPSRC,08/06/2015,SSC Service Charges,EPSRC Corporate Services,RCUK Shared Services Centre Ltd,87897294,1074.88,GBP
BIS,EPSRC,08/06/2015,T&S UK - Public Transport,Programme Delivery Maths,Unspecified,87897569,16,GBP
BIS,EPSRC,08/06/2015,T&S UK - Public Transport,Programme Delivery Manufacturing,Unspecified,87897570,17,GBP
BIS,EPSRC,08/06/2015,T&S UK - Subsistence,Programme Delivery Manufacturing,Unspecified,87897570,1,GBP
BIS,EPSRC,08/06/2015,T&S UK - Subsistence,Programme Delivery Manufacturing,Unspecified,87897570,1.1,GBP
BIS,EPSRC,08/06/2015,T&S UK - Subsistence,Programme Delivery Manufacturing,Unspecified,87897570,1.8,GBP
BIS,EPSRC,08/06/2015,T&S UK - Public Transport,Programme Delivery Manufacturing,Unspecified,87897571,3,GBP
BIS,EPSRC,08/06/2015,T&S UK - Subsistence,Programme Delivery Manufacturing,Unspecified,87897571,2.8,GBP
BIS,EPSRC,08/06/2015,T&S UK - Public Transport,Programme Delivery ICT,Unspecified,87897572,4.4,GBP
BIS,EPSRC,08/06/2015,T&S UK - Subsistence,Programme Delivery ICT,Unspecified,87897572,5,GBP
BIS,EPSRC,08/06/2015,T&S UK - Other Charges,Programme Delivery Energy,Unspecified,87897573,5.95,GBP
BIS,EPSRC,08/06/2015,T&S UK - Public Transport,Programme Delivery Energy,Unspecified,87897573,10.6,GBP
BIS,EPSRC,08/06/2015,T&S UK - Subsistence,Programme Delivery Energy,Unspecified,87897573,15,GBP
BIS,EPSRC,08/06/2015,T&S UK - Mileage,Communications and Stakeholder Engagement,Unspecified,87897574,16.78,GBP
BIS,EPSRC,08/06/2015,T&S UK - Parking Tolls Congestion Charges,Communications and Stakeholder Engagement,Unspecified,87897574,4,GBP
BIS,EPSRC,09/06/2015,Staff Relocation,EPSRC Corporate Services,Sovereign Group Limited,83598203,51837.82,GBP
BIS,EPSRC,09/06/2015,Marketing & PR,Communications and Stakeholder Engagement,Precise Media Monitoring Limited,87783457,451.5,GBP
